CustomerID,Age,Gender,Region,SubscriptionType,MonthlyCharge,TenureMonths,DataUsageGB,VoiceMinutes,SMSCount,CustomerSatisfaction,SupportTickets,DeviceType,ContractType,PaymentMethod,LastInteraction,Churn,ServiceCalls,PromotionsOpted,Installations,Revenue,Expenses,Profit,MarketShare,EmployeeCount,NewSubscriptions,Cancellations,NetPromoterScore,CustomerLoyaltyIndex,TechnicalIssuesReported,ResolutionTimeDays,DowntimeHours,UptimePercentage,CompetitorOffers,AdCampaigns,SocialMediaMentions,ReferralRate,CustomerLifetimeValue,CustomerAcquisitionCost,R&DSpending
34,33,Female,West,Enterprise,212.21,153,250.39,4375,534,8,40,Desktop,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,7,8,3,65792.15,36083.27,24276.0,79.58,5126,80,296,7,89,5,26,9,98.98,2,0,6799,71.09,42872.08,3472.31,842768.09
35,65,Female,South,Enterprise,88.41,144,313.53,6787,587,7,8,Mobile,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,34,3,3,92544.89,36442.31,18720.41,13.08,5891,192,156,-42,73,28,1,63,98.1,9,12,1126,89.35,43460.23,4368.3,915628.78
36,18,Female,South,Premium,62.94,112,157.28,6083,221,2,42,Mobile,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,13,0,4,52300.57,36216.46,42647.35,61.3,9646,756,64,33,76,13,10,29,97.2,2,11,1830,34.41,36752.56,2354.06,791902.3
37,36,Female,South,Premium,112.44,154,151.68,4736,509,9,21,Mobile,Annual,PayPal,2022-10-11 22:09:37.540106944,0,23,2,1,13653.62,1634.49,3704.05,92.38,5959,136,220,-34,13,83,13,4,98.83,7,15,5264,50.63,47665.31,1771.06,680001.44
38,53,Female,South,Enterprise,102.01,128,65.1,1487,105,4,46,Tablet,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,91,7,4,84425.54,13688.01,7087.54,16.37,9931,850,205,80,37,50,21,34,90.34,6,8,6601,60.02,39402.01,1541.0,486302.03
39,42,Male,South,Basic,224.5,134,272.7,4007,692,7,6,Desktop,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,35,4,0,94459.92,15226.22,17664.1,57.69,840,548,486,86,91,65,12,61,91.69,0,11,6122,40.3,39167.3,4847.29,836877.32
40,67,Female,West,Premium,234.48,23,40.84,6426,160,9,14,Tablet,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,49,6,0,24027.46,5868.8,33331.63,96.0,2014,534,421,-16,72,0,10,39,98.33,0,15,5997,13.48,14747.36,1772.14,740659.51
41,69,Male,North,Enterprise,49.63,55,223.43,3544,814,3,20,Laptop,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,70,7,3,21422.31,22551.99,22880.84,10.75,3387,230,280,84,41,23,25,34,91.6,9,7,3400,27.15,48574.99,4406.19,992888.89
42,47,Female,West,Premium,235.01,52,160.86,6746,403,5,38,Tablet,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,88,3,1,53699.74,45850.83,4185.83,4.33,1311,502,379,25,62,77,24,8,96.02,8,0,3939,0.52,47296.03,2680.46,230193.47
43,37,Male,West,Basic,91.84,163,395.27,4098,243,3,48,Tablet,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,79,1,1,30612.65,5099.57,16814.84,19.02,4936,82,44,-39,40,33,23,87,91.72,8,8,9112,47.4,38563.86,846.75,938809.52
44,37,Male,North,Premium,83.44,158,190.72,9417,373,7,49,Mobile,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,68,1,0,85125.62,10399.54,24690.73,2.19,4779,317,14,26,33,75,19,43,95.42,6,5,6409,0.94,29017.58,653.6,398906.44
45,32,Male,East,Premium,217.61,141,450.75,3746,550,9,18,Desktop,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,6,5,0,46386.18,22855.42,19552.42,57.0,688,564,413,-60,0,75,3,90,99.4,4,11,4739,57.22,15803.82,4519.08,474348.47
46,57,Female,North,Premium,264.65,45,94.77,6604,96,5,12,Desktop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,71,6,4,24200.94,20596.83,39058.73,68.27,9068,630,329,90,15,57,6,45,96.1,9,5,5386,90.66,2578.87,2187.28,492596.06
47,50,Female,South,Premium,190.03,59,465.27,1621,229,3,19,Mobile,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,0,65,6,3,1062.68,34206.3,9541.93,0.55,5864,346,19,51,38,13,18,59,99.76,8,13,4426,62.95,31612.43,147.95,250315.7
48,19,Male,West,Enterprise,282.96,125,296.64,5698,47,8,34,Mobile,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,85,5,3,11190.65,10337.66,46959.87,44.87,9793,565,93,28,35,67,17,2,94.12,9,15,7333,65.05,16214.64,426.59,60638.14
49,27,Female,South,Basic,206.32,21,60.12,700,500,1,23,Laptop,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,68,9,4,36382.51,20198.96,23068.84,37.22,4349,906,32,5,19,6,18,39,94.3,6,14,9617,1.0,19104.93,2789.69,405165.33
50,50,Female,North,Enterprise,259.3,64,251.08,8221,303,5,38,Desktop,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,76,3,3,88326.4,40902.45,15611.28,76.91,1696,522,74,-10,38,62,16,30,94.91,5,19,3809,90.15,41055.01,1061.09,135633.46
51,49,Male,East,Premium,165.77,175,133.96,9224,713,5,11,Tablet,Annual,PayPal,2022-10-11 22:09:37.540106944,0,43,5,1,37666.77,30982.36,20083.88,78.31,1838,948,372,64,97,24,19,65,94.96,2,7,1382,78.94,35900.46,204.5,5188.73
52,28,Female,East,Premium,268.0,98,374.52,9300,176,3,41,Laptop,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,1,47,4,2,14367.06,23697.23,28428.57,73.6,9710,315,453,74,77,91,20,21,91.36,9,17,2270,8.57,43158.37,3288.52,548623.91
53,41,Male,West,Premium,52.24,76,325.65,2784,412,7,47,Laptop,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,1,52,7,1,94424.1,28602.35,2247.95,0.17,4568,111,58,-43,36,53,8,74,94.96,0,18,1514,10.15,26890.21,817.28,462165.72
54,53,Male,North,Basic,128.19,47,31.37,1081,210,5,11,Mobile,Month-to-Month,Debit Card,2022-10-11 22:09:37.540106944,1,30,8,1,68891.5,26855.84,45547.69,18.81,5856,812,207,-71,64,93,11,43,98.07,0,11,600,95.57,39316.9,1395.58,646074.42
55,29,Female,South,Basic,101.03,95,208.77,6400,362,9,46,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,75,5,4,42211.1,28320.39,1852.64,0.98,4511,816,114,-79,40,81,19,7,90.61,9,15,4804,66.32,39653.02,1148.25,542612.42
56,68,Male,South,Enterprise,61.79,111,443.57,5363,244,1,37,Mobile,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,22,1,0,70741.68,1533.17,43975.66,99.03,8322,339,314,38,10,14,23,40,93.41,3,19,8918,14.58,28175.8,2653.19,32344.21
57,46,Female,East,Premium,61.84,12,203.91,3786,661,5,48,Tablet,Annual,Debit Card,2022-10-11 22:09:37.540106944,0,3,9,3,90737.28,48893.69,13918.61,93.52,9988,762,182,16,39,93,11,97,90.94,2,12,2792,53.4,15348.11,1782.74,796704.26
58,52,Female,West,Basic,144.0,199,371.82,9625,542,2,17,Desktop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,93,4,4,18517.05,3590.99,2734.02,51.92,8946,426,331,-99,18,32,13,65,90.15,7,19,3922,49.69,24066.44,1250.36,26849.46
59,18,Female,North,Premium,143.88,96,56.69,5516,609,7,40,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,3,1,4,55995.61,16660.3,30018.48,22.47,4340,528,449,14,44,53,8,74,98.45,5,12,4643,26.29,13046.44,2500.13,715514.1
60,18,Female,South,Enterprise,275.0,35,433.46,2620,672,8,43,Laptop,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,1,49,2,4,74394.48,48381.89,41787.05,59.6,4194,231,267,9,38,5,28,34,93.44,5,19,2205,48.16,37336.25,4426.35,782843.21
61,54,Male,East,Enterprise,283.51,42,251.22,8889,711,7,24,Tablet,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,22,4,2,97946.7,28012.08,46770.85,23.9,964,381,57,-49,3,12,20,26,93.03,8,7,9890,29.95,16410.0,2171.64,443933.24
62,23,Female,West,Basic,25.34,150,473.79,6640,742,5,13,Laptop,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,66,1,4,21698.55,23249.65,41863.05,42.54,5378,558,7,70,99,77,18,74,92.08,8,9,893,30.07,47961.47,2108.3,72446.17
63,56,Female,East,Enterprise,92.56,203,268.66,1080,99,2,15,Tablet,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,37,0,3,46340.01,34562.8,3562.4,85.01,7127,548,10,37,78,15,9,25,92.99,4,18,8080,99.84,19774.86,3971.58,860725.86
64,58,Female,West,Basic,22.36,92,384.61,9266,408,5,47,Mobile,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,1,18,8,4,14613.94,4509.68,15098.43,50.73,140,494,461,-30,82,34,16,24,99.81,5,12,5863,56.54,47906.69,1701.1,510753.39
65,35,Male,North,Premium,266.8,82,486.06,7747,577,9,19,Mobile,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,56,3,0,57576.26,42063.42,40462.73,85.47,805,460,52,81,81,75,2,86,97.44,0,18,185,79.37,41976.7,1298.74,643316.85
66,33,Male,East,Basic,168.99,231,364.67,288,722,6,38,Tablet,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,85,7,1,52025.79,28858.15,40140.2,86.83,7091,219,281,-30,5,48,26,46,94.96,7,4,7602,35.71,18800.52,3533.35,236125.87
67,22,Female,South,Enterprise,65.12,58,288.64,1828,822,3,48,Laptop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,59,1,3,68310.47,46672.27,12468.87,55.04,9839,867,399,-89,73,43,2,11,92.1,7,11,294,79.43,7295.32,4062.96,610524.01
68,59,Female,West,Premium,252.53,135,183.35,2505,701,1,20,Tablet,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,67,1,4,52233.95,49339.42,35626.29,84.38,2438,16,15,-35,51,0,27,25,90.19,0,2,5858,75.76,14294.04,2281.68,505440.57
69,60,Female,East,Enterprise,40.09,140,21.26,9705,128,7,22,Laptop,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,39,2,0,23497.74,46525.26,45594.02,44.06,408,391,381,99,79,66,6,28,99.55,4,10,1434,75.02,17361.91,4417.03,142147.79
70,49,Female,West,Premium,259.01,190,216.27,4613,53,7,40,Desktop,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,1,4,0,1,44840.83,49879.78,14020.11,87.97,9604,137,313,-16,74,81,9,97,97.09,4,9,6370,28.06,1737.1,3806.45,74400.59
71,19,Female,East,Premium,24.52,113,206.24,222,596,3,37,Mobile,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,76,7,3,17976.01,18947.71,7144.93,15.03,470,746,334,5,38,18,24,76,91.18,1,2,119,80.36,6047.96,834.2,909357.71
72,19,Male,East,Premium,147.37,222,411.53,8363,448,3,40,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,52,3,3,21903.86,29435.18,4840.67,39.23,9946,825,61,-61,30,91,10,61,91.81,2,4,5785,19.31,13436.49,3314.92,795064.47
73,57,Female,North,Premium,119.11,206,94.63,4193,53,7,16,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,49,1,3,32737.7,46595.33,33209.59,92.32,7039,709,443,30,5,29,24,36,92.16,2,5,240,95.48,44502.37,2190.02,15634.32
74,59,Male,South,Enterprise,201.72,111,371.32,2149,136,2,44,Laptop,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,96,8,3,85291.1,10475.7,31033.62,19.39,1760,262,174,-65,75,4,24,53,92.05,1,14,9344,29.43,37797.1,3064.44,458628.26
75,53,Male,East,Basic,174.06,148,18.78,5886,590,8,30,Tablet,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,82,1,1,49025.06,3712.05,27457.22,75.53,7894,547,406,29,22,91,6,49,95.22,3,13,7385,3.2,19215.22,3554.26,986255.84
76,56,Female,North,Premium,119.07,8,443.18,9021,294,6,8,Laptop,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,59,7,2,2492.06,22764.81,25264.66,39.77,6349,624,390,39,87,81,17,47,94.0,5,19,5462,96.52,528.97,4759.08,237753.3
77,29,Male,West,Enterprise,296.1,58,333.97,4190,978,9,16,Mobile,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,35,7,1,95503.94,42279.12,39973.8,78.82,8901,656,209,44,25,79,24,54,98.3,6,5,1821,0.97,5521.05,4164.32,492449.46
78,64,Female,West,Enterprise,140.22,145,211.22,9695,258,9,42,Mobile,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,70,7,3,13465.29,6022.79,11227.88,31.01,5465,583,155,75,21,14,3,97,99.53,7,14,1499,76.1,8960.36,1255.19,661664.34
79,36,Male,East,Enterprise,155.71,71,132.75,7225,771,4,46,Laptop,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,92,9,4,88657.82,5988.05,6526.13,48.83,3368,862,58,44,71,37,4,84,95.38,0,7,6800,73.55,40989.45,4637.16,862922.43
80,45,Male,South,Basic,196.07,169,92.2,3218,438,5,29,Laptop,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,0,87,4,0,56131.52,14156.77,37144.24,9.45,4688,621,319,-25,49,0,11,23,91.39,2,16,5968,92.0,46120.9,2178.45,994281.03
81,18,Female,West,Enterprise,47.76,208,292.82,4862,658,8,9,Desktop,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,24,0,3,62643.86,38151.14,32164.68,53.56,5389,320,167,-41,17,69,10,34,93.03,4,0,7714,70.35,36599.05,510.86,662900.34
82,32,Male,East,Enterprise,266.8,191,205.12,7045,814,5,4,Desktop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,1,91,6,2,68319.99,39198.59,36219.63,23.17,2136,567,155,-76,94,51,22,70,95.89,4,16,9188,73.33,37055.6,3365.43,519099.09
83,53,Female,West,Basic,178.48,195,371.51,8358,754,6,4,Mobile,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,18,0,4,40826.81,17529.53,23506.13,18.95,1570,455,365,90,74,28,23,59,92.72,5,9,1710,31.9,2373.76,2434.08,495705.08
84,30,Female,North,Enterprise,209.19,11,453.39,8347,263,3,32,Tablet,Bi-Annual,Credit Card,2022-10-11 22:09:37.540106944,0,16,4,0,37089.63,34724.68,27080.08,23.38,9000,771,49,7,1,36,3,29,98.02,3,11,4412,69.55,30389.37,1975.9,502532.31
85,60,Female,East,Enterprise,278.34,42,147.83,7415,760,7,7,Mobile,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,36,3,2,4404.52,12052.51,4749.95,75.48,4900,47,16,-75,73,33,24,38,92.83,6,19,3243,1.1,16875.2,282.33,373796.31
86,38,Female,East,Basic,199.86,171,324.95,5611,506,9,12,Mobile,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,48,1,1,96082.95,9931.64,12148.84,49.09,1379,899,398,45,8,61,6,25,95.71,8,16,119,48.38,3269.09,149.55,303822.56
87,29,Female,East,Basic,40.09,169,211.36,5867,262,6,46,Mobile,Bi-Annual,Debit Card,2022-10-11 22:09:37.540106944,0,48,1,1,95155.96,23664.55,34265.12,13.42,7989,152,339,-59,5,52,19,15,93.0,4,19,3265,29.82,28998.93,3140.83,535520.5
88,22,Female,North,Basic,43.4,158,21.37,9334,512,7,22,Mobile,Annual,Bank Transfer,2022-10-11 22:09:37.540106944,1,63,3,4,46678.49,24509.51,1044.63,47.96,2567,513,102,-14,74,93,6,74,90.66,5,6,1070,15.02,29684.46,3001.34,559215.62
89,24,Male,East,Premium,179.1,75,307.72,9915,456,6,6,Mobile,Bi-Annual,PayPal,2022-10-11 22:09:37.540106944,0,1,1,0,51208.17,26759.99,45592.2,93.48,3636,133,407,42,93,1,19,7,92.48,2,10,7963,88.93,39944.91,2149.01,420487.68
90,22,Male,East,Basic,52.67,75,181.85,9064,28,4,20,Tablet,Annual,Credit Card,2022-10-11 22:09:37.540106944,0,52,8,3,34286.12,2278.89,41948.4,90.4,7127,676,163,-32,46,89,21,67,99.59,9,12,3401,60.13,20433.34,1767.84,202164.89
91,65,Female,North,Premium,32.01,160,6.86,5087,16,5,43,Mobile,Month-to-Month,Credit Card,2022-10-11 22:09:37.540106944,0,14,2,4,19583.74,21041.43,36002.22,13.97,3254,662,413,-81,56,45,19,68,98.79,2,11,5553,53.38,34328.02,980.34,702546.64
92,21,Male,West,Premium,127.43,82,236.14,2809,43,6,29,Desktop,Month-to-Month,Bank Transfer,2022-10-11 22:09:37.540106944,0,27,8,0,9273.19,37779.73,27347.2,49.17,7387,217,45,-5,59,59,23,55,93.34,8,16,2069,47.96,39747.43,1332.8,93454.56
93,30,Male,North,Basic,293.87,100,45.83,8922,223,3,17,Tablet,Month-to-Month,PayPal,2022-10-11 22:09:37.540106944,1,13,7,0,94001.48,13739.93,15310.83,49.65,1654,645,25,15,32,43,1,32,97.41,5,19,2404,40.06,39459.68,3094.09,830838.15
94,54,Female,South,Premium,173.92,165,314.08,7856,824,8,4,Desktop,Bi-Annual,Bank Transfer,2022-10-11 22:09:37.540106944,0,50,3,4,3069.97,4259.97,47559.86,75.21,5455,821,433,33,97,18,20,93,98.33,1,12,2834,72.24,22082.81,362.02,761609.19
